#time;posL;posR;velL;velR
0:00:11.312427;12934.0;-21457.0;256.0;231.0
0:00:11.414633;16271.0;-18462.0;247.0;226.0
0:00:11.512337;19444.0;-15642.0;239.0;217.0
0:00:11.614707;22503.0;-12815.0;223.0;217.0
0:00:11.713077;25317.0;-10087.0;212.0;200.0
0:00:11.815074;28051.0;-7463.0;198.0;191.0
0:00:11.912947;30567.0;-5026.0;182.0;178.0
0:00:12.015930;-32607.0;-2727.0;162.0;164.0
0:00:12.112907;-30536.0;-648.0;144.0;150.0
0:00:12.214928;-28668.0;1235.0;125.0;121.0
0:00:12.312788;-27096.0;2764.0;92.0;91.0
0:00:12.415478;-25890.0;3927.0;66.0;65.0
0:00:12.512914;-25040.0;4716.0;35.0;32.0
0:00:12.615200;-24553.0;5150.0;7.0;7.0
0:00:12.713453;-24435.0;5245.0;0.0;-4.0
0:00:12.815599;-24447.0;5200.0;1.0;0.0
0:00:12.913075;-24428.0;5205.0;0.0;0.0
0:00:13.015442;-24426.0;5206.0;0.0;0.0
0:00:13.113162;-24423.0;5204.0;2.0;0.0
0:00:13.215725;-24391.0;5199.0;29.0;-18.0
0:00:13.313214;-24040.0;4995.0;58.0;-54.0
0:00:13.415777;-23251.0;4288.0;93.0;-75.0
0:00:13.513654;-22068.0;3345.0;134.0;-104.0
0:00:13.616021;-20343.0;2002.0;168.0;-121.0
0:00:13.713716;-18195.0;445.0;196.0;-139.0
0:00:13.816168;-15653.0;-1338.0;220.0;-154.0
0:00:13.913781;-12896.0;-3349.0;236.0;-178.0
0:00:14.016243;-9866.0;-5638.0;236.0;-185.0
0:00:14.113546;-6814.0;-8000.0;232.0;-203.0
0:00:14.215642;-3854.0;-10625.0;200.0;-193.0
0:00:14.313966;-1277.0;-13066.0;181.0;-158.0
0:00:14.416269;1027.0;-15186.0;143.0;-122.0
0:00:14.513739;2897.0;-16710.0;131.0;-105.0
0:00:14.616206;4604.0;-18050.0;97.0;-79.0
0:00:14.714598;5842.0;-19016.0;82.0;-75.0
0:00:14.816408;6928.0;-19973.0;65.0;-69.0
0:00:14.914186;7775.0;-20824.0;62.0;-70.0
0:00:15.016357;8569.0;-21749.0;47.0;-55.0
0:00:15.114164;9149.0;-22431.0;42.0;-43.0
0:00:15.216551;9663.0;-22984.0;43.0;-33.0
0:00:15.314003;10217.0;-23408.0;36.0;-19.0
0:00:15.416803;10746.0;-23637.0;33.0;-9.0
0:00:15.513871;11193.0;-23761.0;38.0;-18.0
0:00:15.615969;11667.0;-23981.0;14.0;-11.0
0:00:15.714286;11912.0;-24076.0;-2.0;0.0
0:00:15.816863;11892.0;-24070.0;0.0;0.0
0:00:15.914039;11891.0;-24065.0;15.0;8.0
0:00:16.016929;12118.0;-23956.0;19.0;31.0
0:00:16.114558;12322.0;-23608.0;42.0;55.0
0:00:16.217004;12788.0;-22921.0;63.0;78.0
0:00:16.314810;13598.0;-21910.0;103.0;100.0
0:00:16.417124;14947.0;-20622.0;147.0;126.0
0:00:16.514563;16824.0;-18963.0;193.0;163.0
0:00:16.616989;19361.0;-16867.0;236.0;215.0
0:00:16.716230;22349.0;-14191.0;275.0;253.0
0:00:16.816909;25923.0;-10892.0;312.0;293.0
0:00:16.914668;29882.0;-7143.0;331.0;339.0
0:00:17.016955;-31369.0;-2766.0;341.0;387.0
0:00:17.114737;-27047.0;2119.0;355.0;417.0
0:00:17.217657;-22456.0;7577.0;361.0;435.0
0:00:17.315052;-17874.0;13106.0;373.0;435.0
0:00:17.417537;-13063.0;18750.0;380.0;435.0
0:00:17.515359;-8235.0;24302.0;397.0;411.0
0:00:17.617548;-3069.0;29635.0;418.0;392.0
0:00:17.715127;2274.0;-30930.0;436.0;372.0
0:00:17.817573;7918.0;-26110.0;438.0;374.0
0:00:17.915402;13490.0;-21387.0;429.0;381.0
0:00:18.017717;19043.0;-16413.0;413.0;403.0
0:00:18.115411;24276.0;-11280.0;403.0;418.0
0:00:18.217881;29497.0;-5878.0;404.0;416.0
0:00:18.315048;-30913.0;-597.0;398.0;411.0
0:00:18.417618;-25759.0;4713.0;390.0;399.0
0:00:18.515211;-20799.0;9769.0;377.0;385.0
0:00:18.618047;-15908.0;14741.0;365.0;378.0
0:00:18.715671;-11286.0;19538.0;340.0;368.0
0:00:18.817813;-6877.0;24289.0;312.0;358.0
0:00:18.915722;-2922.0;28834.0;291.0;337.0
0:00:19.017883;841.0;-32348.0;271.0;306.0
0:00:19.115979;4262.0;-28461.0;261.0;265.0
0:00:19.218560;7627.0;-25037.0;252.0;229.0
0:00:19.316648;10813.0;-22112.0;237.0;198.0
0:00:19.418333;13866.0;-19595.0;207.0;163.0
0:00:19.515710;16566.0;-17545.0;183.0;147.0
0:00:19.618196;18933.0;-15647.0;158.0;135.0
0:00:19.722980;20911.0;-13942.0;126.0;102.0
0:00:19.818282;22529.0;-12667.0;84.0;65.0
0:00:19.916367;23601.0;-11825.0;38.0;30.0
0:00:20.018283;24145.0;-11389.0;3.0;5.0
0:00:20.116277;24200.0;-11295.0;0.0;0.0
0:00:20.218777;24199.0;-11299.0;0.0;0.0
0:00:20.316465;24210.0;-11299.0;0.0;0.0
0:00:20.418420;24217.0;-11296.0;12.0;0.0
0:00:20.516584;24370.0;-11301.0;25.0;-37.0
0:00:20.618538;24698.0;-11700.0;49.0;-59.0
0:00:20.716649;25330.0;-12515.0;95.0;-97.0
0:00:20.818806;26572.0;-13801.0;138.0;-116.0
0:00:20.916811;28356.0;-15246.0;186.0;-126.0
0:00:21.018872;30792.0;-16883.0;208.0;-146.0
0:00:21.116209;-32063.0;-18734.0;224.0;-162.0
0:00:21.218922;-29162.0;-20833.0;214.0;-183.0
0:00:21.316200;-26483.0;-23202.0;193.0;-199.0
0:00:21.419598;-23997.0;-25738.0;177.0;-181.0
0:00:21.516450;-21744.0;-28041.0;150.0;-179.0
0:00:21.619452;-19775.0;-30319.0;131.0;-151.0
0:00:21.717083;-18015.0;-32239.0;114.0;-137.0
0:00:21.819516;-16525.0;31500.0;103.0;-119.0
0:00:21.917180;-15199.0;30009.0;95.0;-115.0
0:00:22.019545;-13965.0;28544.0;81.0;-99.0
0:00:22.117080;-12942.0;27285.0;68.0;-85.0
0:00:22.219673;-12052.0;26179.0;59.0;-79.0
0:00:22.317423;-11284.0;25191.0;62.0;-74.0
0:00:22.419534;-10486.0;24236.0;55.0;-68.0
0:00:22.517215;-9789.0;23370.0;45.0;-53.0
0:00:22.619476;-9214.0;22707.0;14.0;-23.0
